Using backend: pytorch

SETING: Namespace(CVAE_architecture='separate', DropOut_rate=0.3, Vis_step=5, batch_norm=True, config='experiments.conf', dataSet='cora', decoder_type='ML_SBM', disjoint_transductive_inductive=False, encoder_layers='64', encoder_type='Multi_GCN', epoch_number=100, is_prior=False, lr=0.01, model='KDD', mpath='VGAE_FrameWork_MODEL', negative_sampling_rate=1, num_node=-1, num_of_comunities=128, num_of_relations=1, save_embeddings_to_file=True, seed=123, split_the_data_to_train_test=True, targets=[], use_feature=True)
Using device 0 GeForce GTX TITAN X
Finish spliting dataset to train and test. 
is prior is::::::  False
Epoch: 046 | Loss: 0.262010 | Reconstruction_loss: 0.209566 | z_kl_loss: 0.052444 | Accuracy: 0.897138
Epoch: 047 | Loss: 0.260803 | Reconstruction_loss: 0.208065 | z_kl_loss: 0.052738 | Accuracy: 0.900717
Epoch: 048 | Loss: 0.258798 | Reconstruction_loss: 0.206620 | z_kl_loss: 0.052178 | Accuracy: 0.901044
Epoch: 049 | Loss: 0.257159 | Reconstruction_loss: 0.206317 | z_kl_loss: 0.050842 | Accuracy: 0.902903
Epoch: 050 | Loss: 0.262857 | Reconstruction_loss: 0.212994 | z_kl_loss: 0.049864 | Accuracy: 0.902791
Epoch: 051 | Loss: 0.258801 | Reconstruction_loss: 0.209712 | z_kl_loss: 0.049089 | Accuracy: 0.897845
Epoch: 052 | Loss: 0.247463 | Reconstruction_loss: 0.199353 | z_kl_loss: 0.048110 | Accuracy: 0.895714
Epoch: 053 | Loss: 0.243716 | Reconstruction_loss: 0.196046 | z_kl_loss: 0.047671 | Accuracy: 0.909217
Epoch: 054 | Loss: 0.241467 | Reconstruction_loss: 0.194604 | z_kl_loss: 0.046864 | Accuracy: 0.908879
Epoch: 055 | Loss: 0.252803 | Reconstruction_loss: 0.206262 | z_kl_loss: 0.046541 | Accuracy: 0.912368
Epoch: 056 | Loss: 0.243469 | Reconstruction_loss: 0.196184 | z_kl_loss: 0.047285 | Accuracy: 0.902099
Epoch: 057 | Loss: 0.243965 | Reconstruction_loss: 0.196068 | z_kl_loss: 0.047898 | Accuracy: 0.896670
Epoch: 058 | Loss: 0.245814 | Reconstruction_loss: 0.197703 | z_kl_loss: 0.048111 | Accuracy: 0.908701
Epoch: 059 | Loss: 0.235979 | Reconstruction_loss: 0.187604 | z_kl_loss: 0.048376 | Accuracy: 0.912629
Epoch: 060 | Loss: 0.236649 | Reconstruction_loss: 0.187886 | z_kl_loss: 0.048763 | Accuracy: 0.913588
Epoch: 061 | Loss: 0.241996 | Reconstruction_loss: 0.193164 | z_kl_loss: 0.048831 | Accuracy: 0.906749
Epoch: 062 | Loss: 0.234918 | Reconstruction_loss: 0.186692 | z_kl_loss: 0.048226 | Accuracy: 0.907129
Epoch: 063 | Loss: 0.230012 | Reconstruction_loss: 0.182606 | z_kl_loss: 0.047406 | Accuracy: 0.914084
Epoch: 064 | Loss: 0.235119 | Reconstruction_loss: 0.189116 | z_kl_loss: 0.046003 | Accuracy: 0.914679
Epoch: 065 | Loss: 0.225298 | Reconstruction_loss: 0.179569 | z_kl_loss: 0.045729 | Accuracy: 0.911629
Epoch: 066 | Loss: 0.230038 | Reconstruction_loss: 0.184359 | z_kl_loss: 0.045679 | Accuracy: 0.912166
Epoch: 067 | Loss: 0.225392 | Reconstruction_loss: 0.179311 | z_kl_loss: 0.046081 | Accuracy: 0.912333
Epoch: 068 | Loss: 0.227105 | Reconstruction_loss: 0.179991 | z_kl_loss: 0.047114 | Accuracy: 0.916321
Epoch: 069 | Loss: 0.227760 | Reconstruction_loss: 0.180102 | z_kl_loss: 0.047658 | Accuracy: 0.922550
Epoch: 070 | Loss: 0.219815 | Reconstruction_loss: 0.171817 | z_kl_loss: 0.047997 | Accuracy: 0.915080
Epoch: 071 | Loss: 0.226360 | Reconstruction_loss: 0.178654 | z_kl_loss: 0.047706 | Accuracy: 0.914858
Epoch: 072 | Loss: 0.216696 | Reconstruction_loss: 0.169423 | z_kl_loss: 0.047273 | Accuracy: 0.916511
Epoch: 073 | Loss: 0.208908 | Reconstruction_loss: 0.162921 | z_kl_loss: 0.045987 | Accuracy: 0.921778
Epoch: 074 | Loss: 0.216645 | Reconstruction_loss: 0.171467 | z_kl_loss: 0.045177 | Accuracy: 0.923430
Epoch: 075 | Loss: 0.213570 | Reconstruction_loss: 0.169458 | z_kl_loss: 0.044112 | Accuracy: 0.921165
Epoch: 076 | Loss: 0.210590 | Reconstruction_loss: 0.166366 | z_kl_loss: 0.044224 | Accuracy: 0.918578
Epoch: 077 | Loss: 0.215918 | Reconstruction_loss: 0.172216 | z_kl_loss: 0.043703 | Accuracy: 0.918611
Epoch: 078 | Loss: 0.207497 | Reconstruction_loss: 0.164256 | z_kl_loss: 0.043241 | Accuracy: 0.922190
Epoch: 079 | Loss: 0.208072 | Reconstruction_loss: 0.165267 | z_kl_loss: 0.042805 | Accuracy: 0.922583
Epoch: 080 | Loss: 0.214278 | Reconstruction_loss: 0.170973 | z_kl_loss: 0.043305 | Accuracy: 0.924319
Epoch: 081 | Loss: 0.206498 | Reconstruction_loss: 0.161593 | z_kl_loss: 0.044905 | Accuracy: 0.915967
Epoch: 082 | Loss: 0.204496 | Reconstruction_loss: 0.158646 | z_kl_loss: 0.045850 | Accuracy: 0.917552
Epoch: 083 | Loss: 0.206828 | Reconstruction_loss: 0.161736 | z_kl_loss: 0.045092 | Accuracy: 0.936073
Epoch: 084 | Loss: 0.207981 | Reconstruction_loss: 0.163030 | z_kl_loss: 0.044952 | Accuracy: 0.937734
Epoch: 085 | Loss: 0.201057 | Reconstruction_loss: 0.155630 | z_kl_loss: 0.045427 | Accuracy: 0.921730
Epoch: 086 | Loss: 0.197480 | Reconstruction_loss: 0.151959 | z_kl_loss: 0.045521 | Accuracy: 0.915420
Epoch: 087 | Loss: 0.214308 | Reconstruction_loss: 0.170151 | z_kl_loss: 0.044157 | Accuracy: 0.923078
