Using backend: pytorch

SETING: Namespace(CVAE_architecture='separate', DropOut_rate=0.3, Vis_step=5, batch_norm=True, config='experiments.conf', dataSet='cora', decoder_type='ML_SBM', disjoint_transductive_inductive='False', encoder_layers='64', encoder_type='Multi_GCN', epoch_number=100, is_prior=False, lr=0.01, method='single', model='KDD', mpath='VGAE_FrameWork_MODEL', negative_sampling_rate=1, num_node=-1, num_of_comunities=128, num_of_relations=1, sampling_method='normalized', save_embeddings_to_file=True, seed=123, split_the_data_to_train_test=True, targets=[], use_feature=TrueUsing device 0 GeForce GTX TITAN X
FTraceback (most recent call last):
Epoch: 046 | Loss: 0.212804 | Reconstruction_loss: 0.164636 | z_kl_loss: 0.048167 | Accuracy: 0.925328
Epoch: 047 | Loss: 0.213266 | Reconstruction_loss: 0.164690 | z_kl_loss: 0.048576 | Accuracy: 0.913960
Epoch: 048 | Loss: 0.218100 | Reconstruction_loss: 0.170509 | z_kl_loss: 0.047591 | Accuracy: 0.908999
Epoch: 049 | Loss: 0.210229 | Reconstruction_loss: 0.164363 | z_kl_loss: 0.045866 | Accuracy: 0.918142
Epoch: 050 | Loss: 0.203475 | Reconstruction_loss: 0.158784 | z_kl_loss: 0.044690 | Accuracy: 0.927373
Epoch: 051 | Loss: 0.207310 | Reconstruction_loss: 0.163722 | z_kl_loss: 0.043588 | Accuracy: 0.933519
Epoch: 052 | Loss: 0.199041 | Reconstruction_loss: 0.155879 | z_kl_loss: 0.043162 | Accuracy: 0.932275
Epoch: 053 | Loss: 0.190247 | Reconstruction_loss: 0.146838 | z_kl_loss: 0.043409 | Accuracy: 0.923362
Epoch: 054 | Loss: 0.196339 | Reconstruction_loss: 0.153025 | z_kl_loss: 0.043314 | Accuracy: 0.920547
Epoch: 055 | Loss: 0.194776 | Reconstruction_loss: 0.151897 | z_kl_loss: 0.042880 | Accuracy: 0.926241
Epoch: 056 | Loss: 0.182018 | Reconstruction_loss: 0.139851 | z_kl_loss: 0.042168 | Accuracy: 0.931909
Epoch: 057 | Loss: 0.196702 | Reconstruction_loss: 0.155207 | z_kl_loss: 0.041495 | Accuracy: 0.940171
Epoch: 058 | Loss: 0.193887 | Reconstruction_loss: 0.152992 | z_kl_loss: 0.040895 | Accuracy: 0.934820
Epoch: 059 | Loss: 0.183475 | Reconstruction_loss: 0.142616 | z_kl_loss: 0.040859 | Accuracy: 0.925818
Epoch: 060 | Loss: 0.187604 | Reconstruction_loss: 0.147720 | z_kl_loss: 0.039884 | Accuracy: 0.923110
Epoch: 061 | Loss: 0.184484 | Reconstruction_loss: 0.145110 | z_kl_loss: 0.039374 | Accuracy: 0.926517
Epoch: 062 | Loss: 0.182110 | Reconstruction_loss: 0.143380 | z_kl_loss: 0.038730 | Accuracy: 0.934393
Epoch: 063 | Loss: 0.178796 | Reconstruction_loss: 0.140124 | z_kl_loss: 0.038672 | Accuracy: 0.939906
Epoch: 064 | Loss: 0.180449 | Reconstruction_loss: 0.140616 | z_kl_loss: 0.039834 | Accuracy: 0.939583
Epoch: 065 | Loss: 0.179866 | Reconstruction_loss: 0.139125 | z_kl_loss: 0.040741 | Accuracy: 0.934721
Epoch: 066 | Loss: 0.181085 | Reconstruction_loss: 0.140109 | z_kl_loss: 0.040976 | Accuracy: 0.930512
Epoch: 067 | Loss: 0.180435 | Reconstruction_loss: 0.139927 | z_kl_loss: 0.040508 | Accuracy: 0.931724
Epoch: 068 | Loss: 0.179930 | Reconstruction_loss: 0.140979 | z_kl_loss: 0.038951 | Accuracy: 0.934243
Epoch: 069 | Loss: 0.178808 | Reconstruction_loss: 0.140843 | z_kl_loss: 0.037965 | Accuracy: 0.942359
Epoch: 070 | Loss: 0.177331 | Reconstruction_loss: 0.140251 | z_kl_loss: 0.037079 | Accuracy: 0.938681
Epoch: 071 | Loss: 0.171977 | Reconstruction_loss: 0.134616 | z_kl_loss: 0.037361 | Accuracy: 0.935195
Epoch: 072 | Loss: 0.175826 | Reconstruction_loss: 0.138177 | z_kl_loss: 0.037649 | Accuracy: 0.932609
Epoch: 073 | Loss: 0.169933 | Reconstruction_loss: 0.131938 | z_kl_loss: 0.037995 | Accuracy: 0.931759
Epoch: 074 | Loss: 0.164225 | Reconstruction_loss: 0.126721 | z_kl_loss: 0.037504 | Accuracy: 0.939760
Epoch: 075 | Loss: 0.174565 | Reconstruction_loss: 0.137586 | z_kl_loss: 0.036978 | Accuracy: 0.946714
Epoch: 076 | Loss: 0.168936 | Reconstruction_loss: 0.131310 | z_kl_loss: 0.037626 | Accuracy: 0.946616
Epoch: 077 | Loss: 0.161237 | Reconstruction_loss: 0.122820 | z_kl_loss: 0.038416 | Accuracy: 0.936157
Epoch: 078 | Loss: 0.170428 | Reconstruction_loss: 0.133094 | z_kl_loss: 0.037333 | Accuracy: 0.931934
Epoch: 079 | Loss: 0.165018 | Reconstruction_loss: 0.129045 | z_kl_loss: 0.035973 | Accuracy: 0.934996
Epoch: 080 | Loss: 0.168974 | Reconstruction_loss: 0.134441 | z_kl_loss: 0.034533 | Accuracy: 0.945422
Epoch: 081 | Loss: 0.170913 | Reconstruction_loss: 0.137071 | z_kl_loss: 0.033842 | Accuracy: 0.947273
Epoch: 082 | Loss: 0.160696 | Reconstruction_loss: 0.126088 | z_kl_loss: 0.034608 | Accuracy: 0.939299
Epoch: 083 | Loss: 0.160801 | Reconstruction_loss: 0.125236 | z_kl_loss: 0.035565 | Accuracy: 0.935858
Epoch: 084 | Loss: 0.162389 | Reconstruction_loss: 0.126107 | z_kl_loss: 0.036283 | Accuracy: 0.939158
Epoch: 085 | Loss: 0.161313 | Reconstruction_loss: 0.124788 | z_kl_loss: 0.036525 | Accuracy: 0.944512
Epoch: 086 | Loss: 0.160582 | Reconstruction_loss: 0.124130 | z_kl_loss: 0.036452 | Accuracy: 0.944749
Epoch: 087 | Loss: 0.166547 | Reconstruction_loss: 0.130539 | z_kl_loss: 0.036008 | Accuracy: 0.943228
Epoch: 088 | Loss: 0.162793 | Reconstruction_loss: 0.127181 | z_kl_loss: 0.035613 | Accuracy: 0.940931
Epoch: 089 | Loss: 0.161217 | Reconstruction_loss: 0.125966 | z_kl_loss: 0.035251 | Accuracy: 0.941309
Epoch: 090 | Loss: 0.159796 | Reconstruction_loss: 0.125127 | z_kl_loss: 0.034669 | Accuracy: 0.941897
Epoch: 091 | Loss: 0.161607 | Reconstruction_loss: 0.127136 | z_kl_loss: 0.034471 | Accuracy: 0.941536
Epoch: 092 | Loss: 0.157101 | Reconstruction_loss: 0.122453 | z_kl_loss: 0.034648 | Accuracy: 0.943179
Epoch: 093 | Loss: 0.159507 | Reconstruction_loss: 0.124475 | z_kl_loss: 0.035032 | Accuracy: 0.947524
Epoch: 094 | Loss: 0.165293 | Reconstruction_loss: 0.129413 | z_kl_loss: 0.035881 | Accuracy: 0.945714
Epoch: 095 | Loss: 0.155546 | Reconstruction_loss: 0.118103 | z_kl_loss: 0.037443 | Accuracy: 0.939937
Epoch: 096 | Loss: 0.157412 | Reconstruction_loss: 0.119320 | z_kl_loss: 0.038092 | Accuracy: 0.943103
Epoch: 097 | Loss: 0.163125 | Reconstruction_loss: 0.126473 | z_kl_loss: 0.036651 | Accuracy: 0.946324
Epoch: 098 | Loss: 0.155620 | Reconstruction_loss: 0.119975 | z_kl_loss: 0.035646 | Accuracy: 0.948157
EEpoch: 099 | Loss: 0.151275 | Reconstruction_loss: 0.116410 | z_kl_loss: 0.034865 | Accuracy: 0.947377
Epoch: 100 | Loss: 0.155020 | Reconstruction_loss: 0.120086 | z_kl_loss: 0.034934 | Accuracy: 0.947364
normalized_semi_single_cites2
r
0
1
